id,title,author,year,isbn
1,The Hunger Games,Suzanne Collins,,9780439023481
2,Harry Potter and the Order of the Phoenix,"J.K. Rowling, Mary GrandPré (Illustrator)",,9780439358071
3,To Kill a Mockingbird,Harper Lee,,9999999999999
4,Pride and Prejudice,"Jane Austen, Anna Quindlen (Introduction)",,9999999999999
5,Twilight,Stephenie Meyer,,9780316015844
6,The Book Thief,Markus Zusak (Goodreads Author),,9780375831003
7,Animal Farm,"George Orwell, Russell Baker (Preface), C.M. Woodhouse (Introduction)",,9780451526342
8,The Chronicles of Narnia,"C.S. Lewis, Pauline Baynes (Illustrator)",,9999999999999
9,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,,9780345538376
10,Gone with the Wind,Margaret Mitchell,,9780446675536
11,The Fault in Our Stars,John Green (Goodreads Author),,9999999999999
12,The Hitchhiker's Guide to the Galaxy,Douglas Adams,,9999999999999
13,The Giving Tree,Shel Silverstein,,9780060256654
14,Wuthering Heights,"Emily Brontë, Richard J. Dunn (Editor), David Timson (Narrator), Charlotte Brontë (Commentary), Robert Heindel (Illustrator)",,9780393978896
15,The Da Vinci Code,Dan Brown (Goodreads Author),,9999999999999
16,Memoirs of a Geisha,Arthur Golden,,9781400096893
17,The Picture of Dorian Gray,"Oscar Wilde, Jeffrey Eugenides (Introduction)",,9999999999999
18,Alice's Adventures in Wonderland & Through the Looking-Glass,"Lewis Carroll, John Tenniel (Illustrator), Martin Gardner (Introduction)",,9780451527745
19,Jane Eyre,"Charlotte Brontë, Michael Mason (Editor), Barnett Freedman (Illustrator)",,9780142437209
20,Les Misérables,"Victor Hugo, Lee Fahnestock (Translator), Norman MacAfee (Translator)",,9999999999999
21,Fahrenheit 451,Ray Bradbury,,B0064CPN7I
22,Divergent,Veronica Roth (Goodreads Author),,9780062024039
23,Lord of the Flies,William Golding,,9780140283334
24,Romeo and Juliet,"William Shakespeare, Paul Werstine (Editor), Barbara A. Mowat (Editor), Paavo Emil Cajander (Translator)",,9780743477116
25,The Alchemist,"Paulo Coelho (Goodreads Author), Alan R. Clarke (Translator), James Noel Smith (Illustrator)",,9780062315007
26,Crime and Punishment,"Fyodor Dostoyevsky, David McDuff (Translator)",,9780143058144
27,The Perks of Being a Wallflower,Stephen Chbosky,,9999999999999
28,The Great Gatsby,"F. Scott Fitzgerald, Francis Scott Fitzgerald",,9999999999999
29,City of Bones,Cassandra Clare (Goodreads Author),,9781416914280
30,Ender's Game,"Orson Scott Card, Stefan Rudnicki (Narrator), Harlan Ellison (Narrator)",,9780812550702
31,The Help,Kathryn Stockett (Goodreads Author),,9999999999999
32,Anne of Green Gables,L.M. Montgomery,,9780451528827
